Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1985,170.5,172.8,175.2,178.3,177.5,177.8,175.6,173.8,173.2,171.5,170.2,167.8
1986,169.7,169.2,168.0,168.1,165.7,164.1,162.6,160.7,158.9,157.6,156.6,154.8
1987,153.0,152.7,152.6,151.1,151.2,149.7,148.1,149.5,149.3,149.1,148.0,147.2
1988,147.0,147.5,141.0,139.9,138.5,137.5,136.8,136.1,135.8,137.2,135.7,135.8
1989,136.4,135.5,135.8,134.9,135.1,124.6,112.3,136.8,136.7,136.3,136.8,136.2
1990,136.3,136.3,136.9,137.8,138.6,138.4,136.8,136.0,135.3,134.6,133.4,132.8
1991,131.2,130.8,129.6,128.1,127.0,125.2,124.3,123.3,122.7,122.6,122.3,121.5
1992,120.6,119.5,119.2,118.8,118.4,118.2,118.6,118.0,117.0,115.5,114.3,113.0
1993,112.5,106.4,110.3,110.0,108.7,99.9,94.6,89.0,89.0,88.6,88.2,105.0
1994,105.2,105.2,105.0,104.3,104.1,104.3,103.7,103.0,101.6,101.8,101.9,102.1
1995,100.6,99.1,99.4,98.5,97.4,95.8,96.0,95.7,95.5,94.9,94.1,92.9
1996,91.6,91.4,90.6,90.4,90.5,90.5,90.8,90.3,90.1,90.0,90.0,89.7
1997,90.1,89.8,89.9,90.2,90.2,90.2,89.6,89.4,89.2,88.8,87.8,87.9
1998,87.6,87.4,87.2,86.8,86.2,85.3,84.2,84.5,83.9,83.3,83.8,83.8
1999,83.2,82.4,81.4,80.2,79.5,78.7,78.2,77.4,76.3,75.6,75.2,74.9
2000,73.6,73.1,72.8,73.3,73.1,71.3,71.4,71.4,71.7,71.5,71.1,70.9
2001,71.3,72.0,72.5,72.7,73.4,74.3,74.9,75.2,75.5,76.4,76.5,77.1
2002,77.6,76.9,76.3,75.6,75.0,74.0,73.3,73.1,73.3,72.7,73.0,72.2
2003,71.4,71.1,70.9,70.8,70.1,70.2,70.6,69.7,68.4,69.0,68.9,68.9
2004,68.6,68.9,69.2,69.6,70.7,71.0,71.8,71.9,71.5,70.7,71.4,71.2
2005,72.5,72.5,72.3,72.8,73.0,73.7,74.0,74.0,74.9,75.2,75.7,76.0
2006,76.4,77.6,78.8,78.9,78.6,78.4,78.1,78.0,77.8,77.9,77.4,77.9
2007,77.6,77.0,77.1,77.5,76.6,76.8,77.2,77.1,77.1,77.2,77.5,77.1
2008,77.3,77.2,77.5,78.2,79.5,80.4,80.6,82.8,83.6,84.8,85.8,86.1
2009,86.3,85.9,85.2,84.0,82.3,81.2,80.0,79.9,79.3,78.2,77.7,77.6
2010,77.8,78.6,79.1,79.2,80.1,80.3,80.8,81.1,81.8,82.8,83.4,84.0
2011,84.0,83.2,84.3,85.8,87.5,88.1,87.5,88.6,89.2,89.5,89.8,89.5
2012,89.8,89.4,89.0,88.0,87.4,85.7,84.4,83.0,81.6,79.4,79.1,78.8
2013,78.5,79.3,79.5,77.8,78.7,78.7,78.1,77.9,77.3,77.3,77.0,76.7
2014,76.0,75.0,73.6,73.9,74.1,74.0,74.2,73.1,72.6,71.2,70.6,69.7
2015,69.0,68.6,68.0,67.1,66.1,65.2,64.3,62.8,61.6,60.4,58.8,57.1
2016,55.4,53.4,52.2,51.2,50.0,49.4,48.8,48.9,48.7,49.5,50.3,50.4
2017,50.8,51.1,51.3,51.7,51.8,51.8,51.4,52.0,52.0,51.9,51.2,50.8
2018,51.1,51.1,50.9,51.8,51.9,51.9,51.7,51.6,51.4,51.4,51.7,52.3
2019,52.1,52.1,52.1,51.2,51.2,51.1,49.3,50.3,49.9,49.4,49.3,48.0
2020,47.4,46.1,45.0,37.1,38.7,38.4,38.8,38.1,38.2,36.4,35.5,38.4
2021,38.1,37.9,37.7,36.7,36.7,36.6,36.5,37.5,37.6,38.0,38.2,38.9
2022,39.3,39.6,39.9,40.2,40.7,41.2,41.1,41.0,41.4,41.8,42.1,42.2
2023,42.2,42.6,42.7,42.8,42.7,43.0,43.2,43.0,42.7,42.2,42.7,42.8
2024,42.8,43.0,42.8,43.8,43.8,44.1,43.6,43.2,43.1,42.7,,
